gene_name,logFC,logCPM,F,PValue,FDR
OSM,-11.27130003347725,4.698328867724669,32.51180159714946,1.1888180758254825e-8,6.5764889210808235e-6
RUBCNL,-11.390252197926147,4.528085280863636,32.50415687342926,1.1935017621023528e-8,6.5764889210808235e-6
KLHDC3,13.1508121925559,4.445567115786255,32.50050523295254,1.1957455279851292e-8,6.5764889210808235e-6
TAGAP,-11.949032505997934,6.23825698040195,32.44132776635435,1.232702092802276e-8,6.5764889210808235e-6
PTK6,12.27405601448767,4.843300659074137,32.43767342407703,1.2350213936302016e-8,6.5764889210808235e-6
LRRK2,-12.0955290733252,6.564018072548309,32.32645740998268,1.3077368123432194e-8,6.785142153273088e-6
MT-ATP8,13.558617341006736,13.11944784669905,32.11371579996779,1.4589948782170233e-8,7.380690340180367e-6
SCARNA13,-12.120162732282392,7.17014480447462,31.758714184032378,1.7514272046651615e-8,8.64393402107306e-6
MTCO3P23,-12.535077430017886,3.8298960008710634,31.55911632878048,1.9409326477995065e-8,9.333249616000724e-6
CH507-528H12.3,-11.507788487537614,6.070814572315008,31.517125614703897,1.9833443710799664e-8,9.333249616000724e-6
RASGRP4,-11.457488562635746,4.192620709396074,31.3733693195825,2.1356972640928273e-8,9.818716072598144e-6
LILRA5,-11.39765849760221,4.205816496973373,31.33032721947098,2.1835543526904694e-8,9.818716072598144e-6
HBQ1,-10.752529232035528,4.890598556292426,31.207631010735273,2.3259545008660073e-8,1.0231671592396447e-5
DUX4L2,-11.29490821634994,4.211183186034066,31.120474231207968,2.4327247827415336e-8,1.0473656591228708e-5
TNFRSF10C,-10.717471832740534,5.069459432805894,31.04286179322256,2.5319291289600942e-8,1.0673663734272397e-5
RP1-229K20.5,-12.466841541071904,3.7620109112381126,30.91348386265691,2.7063911561724088e-8,1.117629082554055e-5
REXO1L8P,-12.445643744177563,3.741108882737435,30.71227043058422,3.0019570975096364e-8,1.2148920373621498e-5
VNN3,-12.438553148210993,3.7338403774998286,30.64199948276454,3.1126259861162506e-8,1.2182296227000154e-5
RN7SL3,-12.031380561738736,9.147169163691661,30.63081573944424,3.130612324210566e-8,1.2182296227000154e-5
KNDC1,-12.408736285849225,3.704361053976918,30.356058459402078,3.606735060743524e-8,1.3770242255499095e-5
DOCK2,-10.44994964349951,4.7703584738516955,30.290182286761556,3.7312842655552667e-8,1.398195131731682e-5
PIK3R5,-10.508388567831293,4.584851970726171,30.246075342424515,3.8170747465361007e-8,1.4043364999301455e-5
TMEM160,11.10752363555701,4.6956952882951235,30.199571976502266,3.909667537422052e-8,1.4127164753524148e-5
DUX4L12,-12.383055355169288,3.6787886074884044,30.106611622890103,4.1015609652634623e-8,1.44328806733721e-5
CA1,-12.38328941492826,3.677102991177321,30.089955794219488,4.136926508799515e-8,1.44328806733721e-5
MIR1281,-12.354521708317339,3.650448703587363,29.8288939475715,4.732906873401484e-8,1.6232266200555766e-5
REXO1L1P,-12.346023355480648,3.6419770177240243,29.745642184978124,4.940497293307244e-8,1.666182712167868e-5
SLA,-10.323139385419308,4.535275127393448,29.600606199829787,5.324177024663485e-8,1.7661429851486168e-5
RGS18,-10.33644699790571,4.474044661377281,29.529232686784653,5.5238109495356236e-8,1.802811525223441e-5
CH507-513H4.7,-10.974904804745199,6.438192751211497,29.27851009437111,6.286443739078297e-8,1.9951156923290926e-5
ENSG00000277437,-11.228695544667485,3.9179301699214264,29.27119101005486,6.310225070870369e-8,1.9951156923290926e-5
DHRS9,-12.27748251436773,3.57374882376872,29.072108008800715,6.992837647869546e-8,2.1769241508406194e-5
MNDA,-11.346662490448349,8.153754015562377,28.927323384919415,7.535310153858245e-8,2.310257590353357e-5
CEACAM3,-12.255744387325006,3.5520598537251815,28.857145542479977,7.813227113429935e-8,2.3597112035858914e-5
ZBP1,-10.871111862989073,3.9488097897429997,28.659804791728973,8.651026380087071e-8,2.5743164529567922e-5
NCF1C,-10.033824379758578,4.442175075538141,28.559073056908684,9.112800758476766e-8,2.672427874605469e-5
HBB,-13.300017974176095,16.102514018232633,28.365152400634585,1.0072472306876164e-7,2.9116639589948455e-5
CRIP2,10.152773882850607,5.175707793026961,28.297947463263693,1.0428168524215918e-7,2.9720280294015367e-5
OR2W3,-9.953102158604983,4.420195383591694,28.213401108485314,1.0893581732810958e-7,3.0615503661587464e-5
CREB5,-9.929080597282553,5.556575777806007,27.805808867510095,1.344661817249893e-7,3.7272920372673404e-5
VNN2,-10.601632009475468,6.926414545776099,27.485593243452414,1.5866529170723436e-7,4.338638077967415e-5
RN7SL368P,-9.79304006457889,5.573222005422169,27.340280731698886,1.710426337984369e-7,4.6147302598818273e-5
ITGAX,-10.253256019604066,6.320036062430549,27.249815028932495,1.7923241338290062e-7,4.772063006319729e-5
LILRB2,-9.450243306062847,4.7034452502304545,27.115393889318728,1.921329940916664e-7,5.0491053707076236e-5
BCL2A1,-10.639233225449177,7.6341692560153795,27.0379872873042,1.9997992960918054e-7,5.187940866207395e-5
GKN1,12.395924313421583,3.6947743090643383,26.835178480877573,2.2209666286976334e-7,5.679345823282928e-5
LILRB3,-9.788658842461546,5.803802955081802,26.80281093390623,2.258466030158561e-7,5.679345823282928e-5
CCL4L2,-9.746109237652881,5.749547889168818,26.790051436231085,2.2734223458656645e-7,5.679345823282928e-5
ELOA3CP,-12.040491406944378,3.338203709345507,26.735805157178746,2.3381245339302284e-7,5.7697499931802654e-5
P2RY13,-9.464604411062039,5.349872435389491,26.679400293779686,2.4073595936920623e-7,5.869026672091431e-5
Telomerase-vert,-9.394653991358739,5.2807200758328605,26.556994032350744,2.564760381544159e-7,6.125688244500824e-5
CR1L,-12.023977473258988,3.3192697140634047,26.55065829377639,2.573182608265728e-7,6.125688244500824e-5
REXO1L12P,-12.016017036114288,3.313870881099834,26.496197648110925,2.646731185540318e-7,6.227512272024225e-5
MRPL12,9.43110265267349,5.173594891975533,26.36597927077452,2.8312473202373844e-7,6.585090750000399e-5
DUX4L24,-11.997801533036142,3.29573370324801,26.318083683780966,2.902311588060443e-7,6.673667611863985e-5
HBA1,-12.347385778111517,15.759700654479355,26.29531265576666,2.9367221166232914e-7,6.67691820560363e-5
TLR8,-9.959537049175028,3.9286374804722586,26.240770226272442,3.020816325612187e-7,6.7918020387514e-5
NCF1,-9.734437973458302,6.093242540840903,26.025526509404667,3.3769183820894354e-7,7.509004775997772e-5
CCL3L1,-9.100513557172947,4.81099052265564,25.984128988649,3.4500870296466443e-7,7.588316417923896e-5
HBA2,-11.747202605648942,14.551330570800152,25.85382935771554,3.6909236957061925e-7,8.030735589528475e-5
PHOSPHO1,-9.100592740758353,5.138543932690272,25.778771670920754,3.8372325507707904e-7,8.260255389877334e-5
REXO1L2P,-11.933425923344373,3.2318697004120445,25.694545937385502,4.008347123485397e-7,8.537779373023896e-5
CXCL8,-10.355749190896272,8.961702893908942,25.652935194283113,4.095686741981021e-7,8.63293971083187e-5
FCGR1A,-8.995763862370593,4.828907353833945,25.622756534388035,4.1602220850890275e-7,8.678566380595513e-5
HRH2,-10.36286670003726,3.6511621765459714,25.488239910288915,4.4605062862321016e-7,9.210035173663937e-5
REXO1L4P,-11.901056077254772,3.199748922589283,25.383503096346246,4.7092823772638116e-7,9.625487768074064e-5
FCN1,-11.302690216347079,3.3459211649365685,25.21471668661158,5.13980083486794e-7,1.0400386989355277e-4
NFAM1,-9.280793791445868,4.110285564543124,25.19534593616723,5.191668271281944e-7,1.0401327472216844e-4
DUX4,-11.062398707326997,3.382426162293749,25.028011429257866,5.662147280528663e-7,1.1232701002107598e-4
GBP5,-9.638758894016192,6.5467159175688145,24.967490935462706,5.842638876723627e-7,1.1478232783543942e-4
FCGR1B,-9.370626700059123,3.9969528970688315,24.939432662523746,5.928263937603307e-7,1.1534463536288742e-4
C19orf33,9.974245809702541,7.726307943507415,24.907572708224453,6.027017029749479e-7,1.161492281876007e-4
REXO1L11P,-11.847450017262004,3.1465088818468416,24.87239377352541,6.137974889934497e-7,1.1717162443190995e-4
PTPRC,-9.885796587513987,7.467441850072704,24.828489760101323,6.279330169587187e-7,1.187497625996231e-4
SERPINA1,-9.346994072903245,6.120109949330104,24.72483594664395,6.626145431100065e-7,1.2369530454569384e-4
NCF2,-9.773097279836167,7.155560271433508,24.71283828450053,6.667508991881713e-7,1.2369530454569384e-4
LINGO3,-11.828908549950313,3.128036581705811,24.696506331334458,6.724232023734282e-7,1.2369530454569384e-4
HBM,-11.827899172480329,3.1239580864148624,24.660163044791897,6.852199550393785e-7,1.2491374585785428e-4
CYTH4,-9.310650768826338,6.115217312833482,24.612748129205382,7.022829475491849e-7,1.2602343837048093e-4
MIR675,9.429777092793007,6.1457249530495055,24.608689352337024,7.037632090864515e-7,1.2602343837048093e-4
CHST15,-9.223022902733064,3.9937159576061183,24.50067505109137,7.443272669291505e-7,1.3211808987992422e-4
